# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	18219
#@/user_id	36911b7b-e7c1-441a-b6ce-954133c0c2c7
a 	啊	c=52 d=1.0149 t=17937
bi bi 	嗶嗶	c=1 d=1 t=5138
bi gui yuan 	碧桂園	c=1 d=1 t=10897
bi ji 	筆記	c=14 d=1.00145 t=15966
bi ji ben 	筆記本	c=3 d=1.90937 t=15622
bi jian 	必剪	c=2 d=1.2265 t=9636
bi jiao 	比較	c=12 d=1.05032 t=14630
bi jiao ci 	比較次	c=1 d=1 t=1540
bi jiao hao 	比較好	c=2 d=1.97531 t=6693
bi jiao hao de 	比較好的	c=1 d=1 t=250
bi jiao hao qi 	比較好奇	c=1 d=1 t=1282
bi jiao la ji 	比較垃圾	c=1 d=1 t=2602
bi jiao shui 	比較水	c=1 d=1 t=1543
bi jiao you yi si 	比較有意思	c=1 d=1 t=6779
bi jing 	畢竟	c=4 d=1.00002 t=17592
bi jing zhi qian 	畢竟之前	c=1 d=1 t=8621
bi kao 	必考	c=1 d=1 t=8869
bi li 	比利	c=2 d=1.98511 t=16188
bi mian 	避免	c=2 d=1.92312 t=5050
bi na 	比内	c=1 d=1 t=10955
bi ni 	比你	c=1 d=1 t=2453
bi ni 	逼你	c=0 d=0.1 t=17149
bi qi lai 	比起來	c=1 d=1 t=2678
bi re 	比熱	c=1 d=1 t=18114
bi ru 	比如	c=9 d=1 t=17989
bi sai 	比賽	c=2 d=1.8311 t=8628
bi sheng ke 	必勝客	c=1 d=1 t=9485
bi te 	比特	c=0 d=0.199005 t=4137
bi te bi 	比特幣	c=5 d=1.03883 t=5070
bi te bi 	比特比	c=1 d=1 t=4136
bi wo 	比我	c=1 d=1 t=5448
bi wo 	逼我	c=1 d=1 t=5099
bi xia qu 	比下去	c=0 d=0.1 t=9753
bi xu 	必須	c=5 d=1.96156 t=13557
bi yao 	必要	c=1 d=1.001 t=3712
bi yao de 	必要的	c=1 d=1 t=5032
bi yao yong na ge le 	必要用那個了	c=1 d=1 t=2791
bi ye 	畢業	c=2 d=0.1 t=15498
bi ye hou 	畢業後	c=1 d=1 t=17075
bi zhi 	壁紙	c=3 d=1.96562 t=11318
bi zui 	閉嘴	c=0 d=0.1 t=2733
bi zui ba 	閉嘴吧	c=1 d=1 t=2734
bian 	便	c=2 d=1.00831 t=1248
bian 	變	c=2 d=1.14082 t=14094
bian 	遍	c=2 d=1.00002 t=16037
bian 	邊	c=5 d=0.149092 t=12954
bian chang 	邊長	c=2 d=1 t=15115
bian cheng 	編程	c=4 d=1.02497 t=17627
bian cheng 	變成	c=2 d=1.04649 t=10603
bian cheng shu 	變成熟	c=1 d=1 t=14073
bian da 	變大	c=1 d=1 t=15067
bian de 	變得	c=1 d=1 t=15117
bian dong 	變動	c=1 d=1 t=16101
bian geng 	變更	c=0 d=0.1 t=8984
bian hao 	編號	c=3 d=2.59711 t=11808
bian hua 	變化	c=4 d=3.88247 t=2408
bian huan 	變換	c=1 d=1 t=3021
bian ji 	編輯	c=2 d=1 t=10903
bian ji 	邊際	c=0 d=0.1 t=10383
bian kan 	邊看	c=2 d=1 t=4636
bian ke yi 	便可以	c=1 d=1 t=17288
bian kuang 	邊框	c=1 d=1 t=2275
bian li 	遍歷	c=10 d=2.11407 t=15278
bian li xiang su 	遍歷像素	c=1 d=1 t=3176
bian liang 	變量	c=12 d=1.29462 t=8815
bian liang lei xing 	變量類型	c=1 d=1 t=4086
bian liang ming 	變量名	c=1 d=1 t=5049
bian ma 	編碼	c=7 d=3.68426 t=17594
bian qian 	便籤	c=0 d=0.1 t=2230
bian qian shang 	便籤上	c=1 d=1 t=2231
bian xiao 	變小	c=1 d=1 t=15069
bian xie 	編寫	c=5 d=0.982186 t=17866
bian xing 	變形	c=1 d=1 t=15431
bian xue 	邊學	c=1 d=1 t=289
bian yi 	編譯	c=1 d=0.1 t=14781
bian yi 	變異	c=1 d=1 t=6001
bian yi chu cuo 	編譯出錯	c=1 d=1 t=14782
bian yi le 	變異了	c=1 d=1 t=1475
bian you xiu 	變優秀	c=1 d=1 t=14095
bian yuan 	邊緣	c=9 d=1.00034 t=9192
bian yuan ju li 	邊緣距離	c=1 d=1 t=268
bian yuan yu zhi 	邊緣閾值	c=1 d=1 t=3181
biao 	表	c=8 d=0.1 t=11925
biao bai 	表白	c=0 d=0.1 t=13102
biao bai de 	表白的	c=1 d=1 t=2709
biao bai qiang 	表白牆	c=1 d=1 t=13103
biao bing 	標兵	c=0 d=0.1 t=5180
biao da 	表達	c=4 d=1 t=13434
biao dan 	表單	c=1 d=1.09005 t=16449
biao dan shu ju 	表單數據	c=1 d=1 t=16450
biao de 	標得	c=1 d=1 t=7775
biao hao 	標號	c=2 d=1.9802 t=5909
biao ji 	標記	c=1 d=1 t=8999
biao mian ji 	表面積	c=0 d=0.1 t=12124
biao mian ji wei 	表面積爲	c=1 d=1 t=12125
biao qian 	標籤	c=22 d=3.93888 t=17787
biao qian nei 	標籤內	c=3 d=1.0778 t=17312
biao qiao 	表敲	c=1 d=1 t=3433
biao qing 	表情	c=1 d=0.1 t=15352
biao qing bao 	表情包	c=1 d=1 t=15353
biao shi 	標識	c=0 d=0.1 t=11993
biao shi 	表示	c=5 d=0.1 t=16366
biao shi fang fa 	表示方法	c=1 d=1 t=4445
biao ti 	標題	c=1 d=1.00032 t=6804
biao ti zhong 	標題中	c=1 d=1 t=6805
biao xian chu lai 	表現出來	c=1 d=1 t=12816
biao xian xing shi 	表現形式	c=1 d=1 t=16325
biao zhi wai 	表之外	c=1 d=1 t=11926
biao zhong 	表中	c=1 d=1 t=6307
biao zhu 	標註	c=2 d=1.71534 t=11999
bie 	別	c=2 d=0.1 t=16811
bie bie 	別別	c=1 d=1 t=16686
bie de 	別的	c=1 d=1 t=12228
bie ji 	別急	c=2 d=1.99501 t=16868
bie ren 	別人	c=5 d=1.9802 t=18115
bie ren hao 	別人好	c=1 d=1 t=11440
bie tai 	別太	c=0 d=0.1 t=2431
bie tai zhao ji 	別太着急	c=1 d=1 t=2432
bie wang le 	別忘了	c=2 d=1 t=11304
bie zhao ji 	別着急	c=1 d=1 t=11712
bin hai 	濱海	c=1 d=1 t=903
bing 	並	c=5 d=0.475311 t=17829
bing 	餅	c=1 d=1 t=9573
bing ce shi 	並測試	c=1 d=1 t=8042
bing dian ji 	並點擊	c=1 d=1 t=7064
bing fa 	併發	c=5 d=1 t=16511
bing fa kong zhi 	并发控制	c=1 d=1 t=13310
bing fan hui 	並返回	c=1 d=1 t=3844
bing gen ju 	並根據	c=1 d=1 t=184
bing geng gai 	並更改	c=1 d=1 t=17830
bing ke yi 	並可以	c=1 d=1 t=6823
bing mei you 	並沒有	c=0 d=0.1 t=16846
bing qi 	兵器	c=0 d=0.1 t=3891
bing qi lin 	冰淇淋	c=1 d=1 t=9577
bing qie 	並且	c=3 d=1 t=17694
bing yu 	冰雨	c=1 d=1 t=11713
bing zai 	並在	c=1 d=1 t=4488
bing zhuang tu 	餅狀圖	c=1 d=1 t=8857
bo bo 	波波	c=0 d=0.1 t=15327
bo fang 	播放	c=4 d=1.0956 t=15073
bo fang shi chang 	播放時長	c=1 d=1 t=3651
bo ke 	博客	c=0 d=0.1 t=459
bo ke yuan 	博客園	c=2 d=1 t=6738
bo li 	玻璃	c=1 d=1 t=11650
bo liu 	脖溜	c=1 d=1 t=13244
bo shi 	博士	c=1 d=1 t=9157
bu 	不	c=7 d=0.208154 t=18216
bu ai 	不愛	c=1 d=0.1 t=12747
bu ai le 	不愛了	c=1 d=0.991366 t=12771
bu an 	不安	c=1 d=1 t=10091
bu bai 	不白	c=0 d=0.1 t=7644
bu bai qing 	不白請	c=1 d=1 t=7645
bu bei 	不被	c=1 d=1 t=17435
bu bi 	不比	c=0 d=0.1 t=12439
bu bi ni 	不比你	c=1 d=1 t=12440
bu bi ni 	不逼你	c=1 d=1 t=17150
bu bu 	補補	c=0 d=0.1 t=14843
bu cun zai 	不存在	c=1 d=1 t=5586
bu da 	不大	c=2 d=1.12043 t=10919
bu da rao 	不打擾	c=0 d=0.1 t=15908
bu dai 	不帶	c=1 d=1 t=9018
bu dei 	不得	c=2 d=1.00001 t=18160
bu diao 	不掉	c=0 d=0.1 t=92
bu dong 	不動	c=0 d=0.1 t=16891
bu dong 	不懂	c=3 d=0.125604 t=15092
bu dui 	不對	c=1 d=1 t=2406
bu dui 	部隊	c=0 d=0.1 t=9820
bu duo 	不多	c=3 d=1.99005 t=6364
bu er 	布爾	c=3 d=1 t=15231
bu fang 	不妨	c=1 d=1 t=12369
bu fang bian 	不方便	c=1 d=1 t=17269
bu fen 	部分	c=4 d=1 t=16427
bu fu 	不服	c=0 d=0.1 t=16855
bu fu he 	不符合	c=0 d=0.1 t=11534
bu gai 	不該	c=0 d=0.1 t=11207
bu gai shi 	不該是	c=2 d=1.99501 t=11209
bu gao 	不高	c=0 d=0.1 t=14362
bu gou 	不夠	c=1 d=1 t=14259
bu guan zen me 	不管怎麼	c=1 d=1 t=2659
bu guo 	不過	c=3 d=1 t=12923
bu guo hai ke yi ba 	不過還可以吧	c=1 d=1 t=957
bu hao 	不好	c=1 d=0.226186 t=14558
bu hao hao 	不好好	c=1 d=1.03239 t=10073
bu hao hao tang zhe 	不好好躺着	c=1 d=1 t=10074
bu hao shi 	不好使	c=3 d=1 t=8107
bu hao zhao 	不好找	c=1 d=1 t=1833
bu he 	不合	c=1 d=1 t=10037
bu he 	不喝	c=0 d=0.1 t=12972
bu he le 	不喝了	c=1 d=1 t=12973
bu he shi 	不合適	c=0 d=0.1 t=13979
bu hua qian 	不花錢	c=1 d=1 t=18134
bu hua suan 	不划算	c=0 d=0.1 t=10223
bu huan 	不換	c=0 d=0.1 t=6238
bu huan hang 	不換行	c=1 d=1 t=6239
bu huang 	不慌	c=2 d=1.80252 t=8106
bu hui 	不會	c=9 d=1.07392 t=14850
bu hui ba 	不會吧	c=1 d=1 t=847
bu hui bei 	不會被	c=1 d=1 t=17363
bu hui jia 	不回家	c=1 d=1 t=18148
bu hui le 	不會了	c=1 d=1 t=16477
bu hui shi 	不會是	c=1 d=1 t=9127
bu ji de 	不記得	c=1 d=1 t=9195
bu ji lei 	不積累	c=1 d=1 t=13960
bu jian 	不見	c=0 d=0.1 t=3946
bu jian de 	不見得	c=1 d=1 t=8587
bu jie 	不接	c=1 d=1 t=9792
bu jie yi 	不介意	c=0 d=0.1 t=7628
bu jin 	不近	c=0 d=0.1 t=6734
bu jin 	步進	c=1 d=1 t=3556
bu jin jin 	不僅僅	c=1 d=1 t=4554
bu ju 	佈局	c=0 d=0.1 t=2393
bu ju bei 	不具備	c=1 d=1 t=17645
bu kai 	不開	c=0 d=0.1 t=3902
bu kan 	不看	c=0 d=0.1 t=2847
bu kao pu 	不靠譜	c=0 d=0.1 t=3343
bu kao yan 	不考研	c=1 d=1 t=17013
bu ke si yi 	不可思議	c=0 d=0.1 t=10947
bu ke si yi ba 	不可思議吧	c=1 d=1 t=10948
bu ku 	不哭	c=0 d=0.1 t=6330
bu ku bu ku 	不哭不哭	c=1 d=1 t=6331
bu li ni le 	不理你了	c=1 d=1 t=2635
bu li wo 	不理我	c=0 d=0.1 t=13911
bu liao 	不了	c=2 d=1 t=13627
bu liao 	不聊	c=0 d=0.1 t=13840
bu liao jie 	不瞭解	c=1 d=0.1 t=10707
bu liao le 	不聊了	c=2 d=1.64082 t=13930
bu liu 	不留	c=1 d=1 t=6500
bu lun 	不論	c=0 d=0.1 t=12735
bu lun zi ji 	不論自己	c=1 d=1 t=12736
bu mai 	不買	c=2 d=1 t=13080
bu man zu 	不滿足	c=1 d=1 t=14118
bu mian fei 	不免費	c=1 d=1 t=1493
bu neng 	不能	c=12 d=1.00102 t=18135
bu neng jie shou 	不能接受	c=0 d=0.1 t=12415
bu neng jie shou me 	不能接受麼	c=1 d=1 t=12416
bu nian qing le 	不年輕了	c=1 d=1 t=15484
bu nuo wo 	不挪窩	c=1 d=1 t=18217
bu pan duan 	不判斷	c=1 d=1 t=11730
bu pang 	不胖	c=0 d=0.1 t=14379
bu pei 	不配	c=1 d=1 t=17911
bu qi 	不起	c=0 d=0.1 t=642
bu qing chu 	不清楚	c=3 d=1.00033 t=16746
bu qiong 	不窮	c=0 d=0.1 t=9043
bu qu 	不去	c=0 d=0.1 t=9150
bu qu ni gong si 	不去你公司	c=1 d=1 t=9151
bu quan 	補全	c=2 d=1 t=15081
bu que ding 	不確定	c=1 d=1 t=1555
bu ran 	不然	c=4 d=1 t=11126
bu ran ming tian 	不然明天	c=1 d=1 t=2232
bu rang 	不讓	c=0 d=0.100502 t=8645
bu rang wo bao le 	不讓我報了	c=1 d=1 t=8646
bu rang zai rang wo 	不讓在讓我	c=1 d=1 t=7587
bu ren shi 	不認識	c=2 d=1.18661 t=14207
bu rong yi 	不容易	c=0 d=0.1 t=1326
bu ru 	不如	c=3 d=1.00111 t=17374
bu ru liu 	不入流	c=1 d=1 t=11375
bu shang 	不上	c=0 d=0.100008 t=8523
bu shao 	不少	c=0 d=0.1 t=6664
bu she de 	不捨得	c=0 d=0.1 t=17152
bu shi 	不是	c=35 d=1.36606 t=17445
bu shi me 	不是麼	c=1 d=1 t=16878
bu shi mian fei de 	不是免費的	c=1 d=1 t=9222
bu shi xie ma 	不是鞋碼	c=1 d=1 t=13057
bu shi yong 	不使用	c=1 d=1 t=17588
bu shu 	部署	c=3 d=1.37908 t=8452
bu shun yan 	不順眼	c=0 d=0.1 t=2332
bu shuo 	不說	c=0 d=0.1 t=10546
bu shuo hua 	不說話	c=1 d=1 t=11656
bu shuo le 	不說了	c=2 d=1.16447 t=17503
bu si 	不死	c=0 d=0.1 t=7468
bu tai 	不太	c=1 d=0.1 t=15052
bu tai hao 	不太好	c=1 d=0.1 t=17589
bu tai qing chu 	不太清楚	c=1 d=1 t=8615
bu tai xing 	不太行	c=1 d=1 t=15053
bu ting 	不停	c=1 d=1 t=15896
bu tong 	不同	c=7 d=1.00008 t=13554
bu tong de 	不同的	c=4 d=1.80252 t=11622
bu tong zhi chu 	不同之處	c=1 d=1 t=6143
bu wan 	補完	c=1 d=1 t=10823
bu wang 	不忘	c=0 d=0.1 t=16029
bu wang li shi 	不忘歷史	c=1 d=1 t=16030
bu wei 	不爲	c=2 d=1.93707 t=10658
bu xi ban 	補習班	c=1 d=1 t=12074
bu xi huan 	不喜歡	c=1 d=1 t=14157
bu xia 	不下	c=0 d=0.1 t=13614
bu xia lai 	不下來	c=0 d=0.1 t=5599
bu xia qu 	不下去	c=0 d=0.1 t=12983
bu xia qu le 	不下去了	c=1 d=1 t=12984
bu xian 	不限	c=0 d=0.1 t=7900
bu xian su 	不限速	c=2 d=1.9802 t=7905
bu xiang 	不像	c=1 d=1 t=17803
bu xiang 	不想	c=0 d=0.100005 t=16548
bu xiang 	補項	c=1 d=1 t=14772
bu xiang da 	不想打	c=1 d=1 t=16549
bu xiang dong le 	不想動了	c=1 d=1 t=14579
bu xiang xin 	不相信	c=0 d=0.1 t=12867
bu xiao de 	不曉得	c=3 d=1.55433 t=14472
bu xie 	不寫	c=0 d=0.1 t=13884
bu xie di zhi 	不寫地址	c=1 d=1 t=616
bu xie jiu bu xie 	不寫就不寫	c=1 d=1 t=13885
bu xing 	不行	c=4 d=1 t=15776
bu xing le 	不行了	c=1 d=1 t=6233
bu xu yao 	不需要	c=5 d=1 t=14617
bu xue 	不學	c=1 d=1 t=5388
bu yao 	不要	c=8 d=1.93815 t=17709
bu yao bei ren 	不要被人	c=1 d=1 t=17139
bu yao duan dian 	不要斷電	c=1 d=1 t=13682
bu yao huang 	不要慌	c=1 d=1 t=12813
bu ye 	不也	c=0 d=0.1 t=12506
bu ye dei kao 	不也得考	c=1 d=1 t=15215
bu yi 	不宜	c=0 d=0.1 t=8984
bu yi bian geng 	不宜變更	c=1 d=1 t=8985
bu yi ding 	不一定	c=1 d=0.1 t=15689
bu yi ding neng 	不一定能	c=1 d=1 t=15690
bu yi yang 	不一樣	c=4 d=1.00335 t=14219
bu ying gai 	不應該	c=2 d=1.00048 t=12761
bu yong 	不用	c=3 d=1.00007 t=16228
bu yong dan xin 	不用擔心	c=0 d=0.1 t=15207
bu yong la 	不用啦	c=1 d=1 t=3389
bu yong ni shuo 	不用你說	c=1 d=1 t=12927
bu yong shuo 	不用說	c=0 d=0.1 t=13980
bu yong shuo le 	不用說了	c=1 d=1 t=13981
bu yong xie 	不用謝	c=0 d=0.1 t=9220
